0,535914,684804,0.7825801251
1,300963,448934,0.6703947574
2,153886,315817,0.4872631936
3,87411,251601,0.3474191279
4,59877,229451,0.2609576772
5,66225,265613,0.2493289109
6,159654,414961,0.3847445905
7,281638,587731,0.4791954142
8,380375,722997,0.5261086837
9,489842,884005,0.5541167754
10,573468,982634,0.583602847
11,625349,1014407,0.616467552
12,662064,1058852,0.625265854
13,719524,1082437,0.6647259841
14,746418,1121561,0.6655170784
15,721853,1122207,0.6432440717
16,730569,1140829,0.640384317
17,746111,1151440,0.6479807893
18,783388,1173237,0.6677150482
19,866107,1206159,0.7180703373
20,945784,1284117,0.7365247871
21,940015,1274623,0.7374847308
22,862874,1179660,0.7314599122
23,764897,945987,0.808570308
