Dialoglänge,Zeitdifferenz,Zeitdifferenz in Min,Anzahl Dialoge
2,7182,120,170298
3,9813,164,83479
4,11914,199,39734
5,13400,223,22168
6,15368,256,11640
7,18302,305,7109
8,18459,308,4074
9,20723,345,2799
10,24296,405,1671
11,23498,392,1089
12,26800,447,674
13,24597,410,522
14,35585,593,373
15,33116,552,236
